WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
AFRO,BFA,BURKINA FASO,2024-01-15,,,2024,3
AFRO,BDI,BURUNDI,2024-01-15,0,0,2024,3
AFRO,CPV,CABO VERDE,2024-01-15,,,2024,3
AFRO,CMR,CAMEROON,2024-01-15,,,2024,3
AFRO,CAF,CENTRAL AFRICAN REPUBLIC,2024-01-15,,,2024,3
AFRO,TCD,CHAD,2024-01-15,,,2024,3
AFRO,COM,COMOROS,2024-01-15,,,2024,3
AFRO,COG,CONGO,2024-01-15,,,2024,3
AFRO,CIV,CÔTE D’IVOIRE,2024-01-15,,,2024,3
AFRO,COD,DEMOCRATIC REPUBLIC OF THE CONGO,2024-01-15,,,2024,3
AFRO,GNQ,EQUATORIAL GUINEA,2024-01-15,,,2024,3
AFRO,ERI,ERITREA,2024-01-15,,,2024,3
AFRO,SWZ,ESWATINI,2024-01-15,0,0,2024,3
AFRO,ETH,ETHIOPIA,2024-01-15,,,2024,3
AFRO,GAB,GABON,2024-01-15,,,2024,3
AFRO,GMB,GAMBIA,2024-01-15,,,2024,3
AFRO,GHA,GHANA,2024-01-15,,,2024,3
AFRO,GIN,GUINEA,2024-01-15,,,2024,3
AFRO,GNB,GUINEA-BISSAU,2024-01-15,,,2024,3
AFRO,KEN,KENYA,2024-01-15,,,2024,3
AFRO,LSO,LESOTHO,2024-01-15,,,2024,3
AFRO,LBR,LIBERIA,2024-01-15,,,2024,3
AFRO,MDG,MADAGASCAR,2024-01-15,,,2024,3
AFRO,MWI,MALAWI,2024-01-15,,,2024,3
AFRO,MLI,MALI,2024-01-15,,,2024,3
AFRO,MRT,MAURITANIA,2024-01-15,0,0,2024,3
AFRO,MUS,MAURITIUS,2024-01-15,10,0,2024,3
AFRO,MOZ,MOZAMBIQUE,2024-01-15,0,0,2024,3
AFRO,NAM,NAMIBIA,2024-01-15,2,0,2024,3
AFRO,NER,NIGER,2024-01-15,,,2024,3
