WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
WPRO,NZL,NEW ZEALAND,2023-05-01,240,5,2023,18
WPRO,NZL,NEW ZEALAND,2023-05-08,234,2,2023,19
WPRO,NZL,NEW ZEALAND,2023-05-15,256,15,2023,20
WPRO,NZL,NEW ZEALAND,2023-05-22,252,6,2023,21
WPRO,NZL,NEW ZEALAND,2023-05-29,263,10,2023,22
WPRO,NZL,NEW ZEALAND,2023-06-05,221,8,2023,23
WPRO,NZL,NEW ZEALAND,2023-06-12,234,3,2023,24
WPRO,NZL,NEW ZEALAND,2023-06-19,205,6,2023,25
WPRO,NZL,NEW ZEALAND,2023-06-26,174,8,2023,26
WPRO,NZL,NEW ZEALAND,2023-07-03,147,5,2023,27
WPRO,NZL,NEW ZEALAND,2023-07-10,145,4,2023,28
WPRO,NZL,NEW ZEALAND,2023-07-17,114,6,2023,29
WPRO,NZL,NEW ZEALAND,2023-07-24,103,6,2023,30
WPRO,NZL,NEW ZEALAND,2023-07-31,126,9,2023,31
WPRO,NZL,NEW ZEALAND,2023-08-07,146,9,2023,32
WPRO,NZL,NEW ZEALAND,2023-08-14,153,5,2023,33
WPRO,NZL,NEW ZEALAND,2023-08-21,161,7,2023,34
WPRO,NZL,NEW ZEALAND,2023-08-28,179,10,2023,35
WPRO,NZL,NEW ZEALAND,2023-09-04,185,5,2023,36
WPRO,NZL,NEW ZEALAND,2023-09-11,164,5,2023,37
WPRO,NZL,NEW ZEALAND,2023-09-18,170,8,2023,38
WPRO,NZL,NEW ZEALAND,2023-09-25,187,8,2023,39
WPRO,NZL,NEW ZEALAND,2023-10-02,229,4,2023,40
WPRO,NZL,NEW ZEALAND,2023-10-09,219,8,2023,41
WPRO,NZL,NEW ZEALAND,2023-10-16,235,11,2023,42
WPRO,NZL,NEW ZEALAND,2023-10-23,178,1,2023,43
WPRO,NZL,NEW ZEALAND,2023-10-30,271,10,2023,44
WPRO,NZL,NEW ZEALAND,2023-11-06,255,2,2023,45
WPRO,NZL,NEW ZEALAND,2023-11-13,315,8,2023,46
WPRO,NZL,NEW ZEALAND,2023-11-20,318,8,2023,47
WPRO,NZL,NEW ZEALAND,2023-11-27,292,6,2023,48
WPRO,NZL,NEW ZEALAND,2023-12-04,328,12,2023,49
WPRO,NZL,NEW ZEALAND,2023-12-11,320,9,2023,50
WPRO,NZL,NEW ZEALAND,2023-12-18,355,7,2023,51
WPRO,NZL,NEW ZEALAND,2023-12-25,334,10,2023,52
WPRO,NZL,NEW ZEALAND,2024-01-01,286,6,2024,1
WPRO,NZL,NEW ZEALAND,2024-01-08,301,6,2024,2
WPRO,NZL,NEW ZEALAND,2024-01-15,230,8,2024,3
WPRO,NZL,NEW ZEALAND,2024-01-22,208,9,2024,4
WPRO,NZL,NEW ZEALAND,2024-01-29,202,5,2024,5
WPRO,NZL,NEW ZEALAND,2024-02-05,198,6,2024,6
WPRO,NZL,NEW ZEALAND,2024-02-12,224,5,2024,7
WPRO,NZL,NEW ZEALAND,2024-02-19,222,8,2024,8
WPRO,NZL,NEW ZEALAND,2024-02-26,208,7,2024,9
WPRO,NZL,NEW ZEALAND,2024-03-04,162,6,2024,10
WPRO,NZL,NEW ZEALAND,2024-03-11,158,3,2024,11
WPRO,NZL,NEW ZEALAND,2024-03-18,155,3,2024,12
WPRO,NZL,NEW ZEALAND,2024-03-25,153,7,2024,13
WPRO,NZL,NEW ZEALAND,2024-04-01,157,5,2024,14
WPRO,NZL,NEW ZEALAND,2024-04-08,157,4,2024,15
WPRO,NZL,NEW ZEALAND,2024-04-15,140,7,2024,16
WPRO,NZL,NEW ZEALAND,2024-04-22,130,5,2024,17
