ISO_3_CODE,ADM0_NAME,WHO_REGION
MAR,MOROCCO,EMRO
MEX,MEXICO,AMRO
JPN,JAPAN,WPRO
USA,UNITED STATES OF AMERICA,AMRO
LVA,LATVIA,EURO
JPN,JAPAN,WPRO
USA,UNITED STATES OF AMERICA,AMRO
CMR,CAMEROON,AFRO
GIN,GUINEA,AFRO
BRA,BRAZIL,AMRO
ABW,ARUBA,AMRO
USA,UNITED STATES OF AMERICA,AMRO
EGY,EGYPT,EMRO
SDN,SUDAN,EMRO
VNM,VIET NAM,WPRO
ITA,ITALY,EURO
USA,UNITED STATES OF AMERICA,AMRO
BRA,BRAZIL,AMRO
MEX,MEXICO,AMRO
UKR,UKRAINE,EURO
CHN,CHINA,WPRO
USA,UNITED STATES OF AMERICA,AMRO
MEX,MEXICO,AMRO
SLV,EL SALVADOR,AMRO
COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFRO
USA,UNITED STATES OF AMERICA,AMRO
COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFRO
NOR,NORWAY,EURO
BRA,BRAZIL,AMRO
BRA,BRAZIL,AMRO
PNG,PAPUA NEW GUINEA,WPRO
BRA,BRAZIL,AMRO
ZMB,ZAMBIA,AFRO
CUB,CUBA,AMRO
SRB,SERBIA,EURO
KEN,KENYA,AFRO
BEL,BELGIUM,EURO
ROU,ROMANIA,EURO
HND,HONDURAS,AMRO
SLV,EL SALVADOR,AMRO
IDN,INDONESIA,SEARO
NAM,NAMIBIA,AFRO
VEN,VENEZUELA (BOLIVARIAN REPUBLIC OF),AMRO
EGY,EGYPT,EMRO
HRV,CROATIA,EURO
MOZ,MOZAMBIQUE,AFRO
MOZ,MOZAMBIQUE,AFRO
UZB,UZBEKISTAN,EURO
JPN,JAPAN,WPRO
MLT,MALTA,EURO
BRA,BRAZIL,AMRO
COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFRO
EGY,EGYPT,EMRO
TZA,UNITED REPUBLIC OF TANZANIA,AFRO
HRV,CROATIA,EURO
TZA,UNITED REPUBLIC OF TANZANIA,AFRO
BWA,BOTSWANA,AFRO
AUS,AUSTRALIA,WPRO
JPN,JAPAN,WPRO
IND,INDIA,SEARO
MOZ,MOZAMBIQUE,AFRO
GBR,THE UNITED KINGDOM,EURO
USA,UNITED STATES OF AMERICA,AMRO
ROU,ROMANIA,EURO
PRY,PARAGUAY,AMRO
JPN,JAPAN,WPRO
PRY,PARAGUAY,AMRO
NIC,NICARAGUA,AMRO
LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,WPRO
SVK,SLOVAKIA,EURO
MNG,MONGOLIA,WPRO
CRI,COSTA RICA,AMRO
DOM,DOMINICAN REPUBLIC,AMRO
GTM,GUATEMALA,AMRO
MAR,MOROCCO,EMRO
GHA,GHANA,AFRO
DZA,ALGERIA,AFRO
ZMB,ZAMBIA,AFRO
NAM,NAMIBIA,AFRO
JPN,JAPAN,WPRO
BRA,BRAZIL,AMRO
CMR,CAMEROON,AFRO
